Date,Open,High,Low,Close,Adj Close,Volume
2019-03-14,448.153931,460.465820,440.744110,452.547546,452.547546,507431054
2019-03-15,459.934326,532.066711,446.070435,517.522583,517.522583,417729674
2019-03-16,517.773499,572.780151,461.674896,509.214661,509.214661,239811428
2019-03-17,507.391357,507.391357,326.050171,329.378937,329.378937,182998006
2019-03-18,332.970428,358.895477,332.970093,350.705231,350.705231,176178185
2019-03-19,349.994019,357.078308,330.904938,332.794800,332.794800,268553299
2019-03-20,332.504364,333.729614,266.442169,301.593201,301.593201,270825781
2019-03-21,304.355255,304.355255,246.510849,249.489807,249.489807,267921847
2019-03-22,249.363419,249.512436,225.811371,241.994461,241.994461,323771516
2019-03-23,242.523605,244.436508,230.827026,238.328094,238.328094,305027859
2019-03-24,238.323639,268.478882,237.156265,260.444031,260.444031,271757545
2019-03-25,259.333893,272.518890,252.712738,260.453888,260.453888,321353116
2019-03-26,259.261688,263.878815,239.749924,258.544769,258.544769,446371439
2019-03-27,258.721832,264.254700,247.722870,260.882721,260.882721,485704166
2019-03-28,260.662292,261.714722,240.962860,241.640442,241.640442,417241714
2019-03-29,241.445679,245.918427,235.593857,245.805359,245.805359,278605128
2019-03-30,245.876007,247.379868,234.672455,240.719696,240.719696,234074203
2019-03-31,240.719696,251.735626,238.934418,251.453018,251.453018,273744047
2019-04-01,250.464417,267.831512,249.640366,257.800262,257.800262,287794050
2019-04-02,260.344238,264.277954,250.148773,261.014343,261.014343,369759830
2019-04-03,261.014343,270.315765,251.331131,259.413116,259.413116,350093517
2019-04-04,259.133911,264.731567,253.483032,258.489929,258.489929,367045569
2019-04-05,258.307587,265.678741,254.508514,263.662292,263.662292,374941463
2019-04-06,263.719025,308.976288,261.005493,307.894867,307.894867,320086507
2019-04-07,309.737793,338.315430,300.595978,319.315155,319.315155,289935607
2019-04-08,320.575928,407.202515,319.266418,379.119232,379.119232,281138914
2019-04-09,379.119232,380.615082,263.503326,266.286591,266.286591,360614929
2019-04-10,263.413605,289.144775,253.804230,259.298218,259.298218,322683675
2019-04-11,260.707550,267.369446,240.578491,242.247864,242.247864,364952403
2019-04-12,242.780502,299.794281,240.387207,297.845612,297.845612,329623005
2019-04-13,297.700714,309.067078,288.333832,297.608765,297.608765,281775762
2019-04-14,297.608765,310.456543,285.302643,308.687744,308.687744,282738842
2019-04-15,308.687744,310.560760,297.641968,302.139435,302.139435,280896345
2019-04-16,301.741211,311.210480,296.948578,307.231415,307.231415,465015777
2019-04-17,303.161926,308.967194,297.550385,301.721527,301.721527,349955075
2019-04-18,301.662567,307.129517,297.123505,302.717682,302.717682,274979576
2019-04-19,302.832581,339.947174,298.013336,338.353729,338.353729,402947513
2019-04-20,337.824951,377.451202,337.057526,377.175110,377.175110,286613378
2019-04-21,374.843994,380.025238,322.779236,361.820801,361.820801,306829432
2019-04-22,358.699707,484.349487,296.284271,305.529938,305.529938,1024147346
2019-04-23,305.529938,369.780884,287.054230,287.595032,287.595032,4834163461
2019-04-24,287.595032,289.273407,216.958862,254.953247,254.953247,3644759170
2019-04-25,258.418762,264.349884,226.445450,231.876617,231.876617,2706876180
2019-04-26,231.885590,263.463470,224.108368,253.802719,253.802719,2545976702
2019-04-27,254.320694,256.405884,237.106064,239.882324,239.882324,1686615338
2019-04-28,240.131195,359.367065,237.356903,309.475250,309.475250,6180305467
2019-04-29,311.248932,326.421265,258.166382,261.682312,261.682312,6028738333
2019-04-30,261.670624,282.359131,261.670624,273.886169,273.886169,3751341882
2019-05-01,273.755005,320.390686,272.879272,305.740967,305.740967,6304673368
2019-05-02,305.721039,321.667725,294.502808,319.027283,319.027283,5818871475
2019-05-03,319.045105,369.633118,317.141205,367.393646,367.393646,11196283632
2019-05-04,367.513367,386.230286,331.630035,363.875732,363.875732,11406310082
2019-05-05,364.032440,364.032440,331.312195,335.769196,335.769196,4724319739
2019-05-06,335.594971,336.506195,313.763794,327.990204,327.990204,4374951321
2019-05-07,328.068176,349.313751,321.198730,321.198730,321.198730,4054437121
2019-05-08,320.238342,320.238342,297.873688,303.619354,303.619354,4240127747
2019-05-09,304.570496,311.854980,247.572113,273.527985,273.527985,5359573654
